Designator,Mid X,Mid Y,Rotation,Layer
C1,65.468,36.017,180.0,top
C10,108.204,33.655,-90.0,top
C11,124.714,33.655,0.0,top
C12,124.714,38.735,0.0,top
C13,124.714,43.815,0.0,top
C14,85.784,20.455,90.0,top
C15,82.784,19.455,90.0,top
C16,76.034,16.205,180.0,top
C17,80.554,9.455,0.0,top
C18,80.534,6.455,180.0,top
C19,85.034,14.205,90.0,top
C2,65.468,29.667,0.0,top
C20,60.579,9.055,-90.0,top
C21,64.643,9.055,-90.0,top
C22,67.691,8.547,-90.0,top
C3,15.064,42.34,-90.0,top
C4,14.556,33.704,-90.0,top
C5,14.302,24.511,-90.0,top
C6,124.714,28.575,0.0,top
C7,124.714,23.495,0.0,top
C8,118.364,33.655,-90.0,top
C9,113.284,33.655,-90.0,top
D1,142.494,33.02,180.0,top
D10,137.16,10.668,-90.0,top
D11,113.792,6.096,-90.0,top
D12,135.128,6.096,0.0,top
D13,21.3355,15.924,90.0,top
D14,10.746,6.272,0.0,top
D15,21.3355,8.304,90.0,top
D16,10.746,3.732,180.0,top
D17,72.263,7.531,-90.0,top
D2,142.494,30.48,180.0,top
D3,142.494,27.94,180.0,top
D4,142.494,25.4,180.0,top
D5,142.494,22.86,180.0,top
D6,142.494,38.1,180.0,top
D7,142.494,40.64,180.0,top
D8,142.494,43.18,180.0,top
D9,125.964,10.875,-90.0,top
J10,131.044,2.62,90.0,top
J11,143.764,15.24,-90.0,top
J12,11.0,43.102,-90.0,top
J13,10.99,33.709,-90.0,top
J14,10.99,24.311,-90.0,top
J6,63.5,43.18,-90.0,top
J7,78.735,43.18,-90.0,top
J8,84.069,43.18,90.0,top
J9,5.158,3.732,180.0,top
L1,68.725,16.167,180.0,top
Lk1,71.818,37.287,0.0,top
Lk2,17.619,1.7,90.0,top
Lk3,136.744,16.59,90.0,bottom
Lk5,11.534,12.455,-90.0,top
Lk6,122.804,2.54,-90.0,bottom
P1,146.304,33.02,0.0,top
P2,146.304,43.18,0.0,top
P5,49.783999,43.18,180.0,bottom
P6,92.964,43.18,180.0,bottom
Q1,18.874,40.308,180.0,top
Q10,122.154,10.875,0.0,top
Q11,124.694,10.875,180.0,bottom
Q12,109.728,6.096,0.0,top
Q13,25.3995,15.924,180.0,top
Q14,25.3995,8.304,180.0,top
Q15,23.6565,8.305,0.0,bottom
Q2,24.716,40.308,180.0,top
Q3,30.812,40.308,180.0,top
Q4,18.683,31.672,180.0,top
Q5,24.716,31.672,180.0,top
Q6,30.812,31.672,180.0,top
Q7,21.414,23.798,180.0,top
Q8,29.288,23.798,180.0,top
Q9,3.634,17.448,0.0,top
R1,64.198,38.011,180.0,top
R10,18.112,34.212,180.0,top
R11,8.968,28.116,180.0,top
R12,5.349038,27.708533,-90.0,top
R13,22.684,34.212,0.0,top
R14,29.034,34.974,0.0,top
R15,35.892,30.91,0.0,top
R16,18.112,23.989,90.0,top
R17,10.238,18.464,0.0,top
R18,7.1882,18.2752,0.0,top
R19,25.224,24.052,90.0,top
R2,67.373,38.011,0.0,top
R20,33.352,24.052,90.0,top
R21,7.698,15.67,0.0,top
R22,138.684,28.575,0.0,top
R23,138.684,26.035,180.0,top
R24,124.714,26.035,180.0,top
R25,138.684,23.495,0.0,top
R26,138.684,20.955,180.0,top
R27,124.714,20.955,180.0,top
R28,118.364,19.685,-90.0,top
R29,115.824,19.685,90.0,top
R3,61.023,25.857,90.0,top
R30,115.804,33.655,90.0,top
R31,113.284,19.685,-90.0,top
R32,110.744,19.685,90.0,top
R33,110.744,33.655,90.0,top
R34,108.204,19.685,-90.0,top
R35,105.664,19.685,90.0,top
R36,105.664,33.655,90.0,top
R37,138.684,33.655,180.0,top
R38,138.684,31.115,180.0,top
R39,124.714,31.115,180.0,top
R4,18.112,43.102,180.0,top
R40,138.684,38.735,180.0,top
R41,138.684,36.195,180.0,top
R42,124.714,36.195,180.0,top
R43,138.684,43.815,180.0,top
R44,138.684,41.275,180.0,top
R45,124.714,41.275,180.0,top
R46,104.648,12.7,0.0,top
R47,118.344,10.875,90.0,top
R48,129.139,9.605,0.0,top
R49,129.139,12.145,0.0,top
R5,8.714,37.514,180.0,top
R50,92.71,8.89,0.0,top
R51,106.172,6.604,90.0,top
R52,117.031,4.064,0.0,top
R53,116.84,6.604,0.0,top
R54,42.4175,14.654,180.0,top
R55,28.9555,15.924,-90.0,top
R56,17.2715,14.4,0.0,top
R57,17.2715,17.448,180.0,top
R58,42.4175,7.034,180.0,top
R59,28.9555,8.3217,-90.0,top
R6,5.414855,37.129082,-90.0,top
R60,17.2715,6.78,0.0,top
R61,17.858,9.574,180.0,top
R62,80.534,7.955,0.0,top
R63,76.034,11.705,0.0,top
R64,76.034,13.955,180.0,top
R7,22.684,43.102,0.0,top
R8,28.272,43.102,180.0,top
R9,35.892,39.292,0.0,top
U1,65.468,32.842,0.0,top
U10,131.699,42.545,180.0,top
U11,111.994,12.145,0.0,top
U12,99.06,7.62,0.0,top
U13,35.6615,15.924,180.0,top
U14,35.6615,8.3217,180.0,top
U15,80.784,13.955,-90.0,top
U2,65.468,24.587,90.0,top
U3,131.699,27.305,180.0,top
U4,131.699,22.225,180.0,top
U5,117.094,26.67,90.0,top
U6,112.014,26.67,90.0,top
U7,106.934,26.67,90.0,top
U8,131.699,32.385,180.0,top
U9,131.699,37.465,180.0,top
